"filename", "language", "JavaScript", "Properties", "JSON", "Markdown", "XML", "JavaScript JSX", "HTML", "CSS", "JSON with Comments", "comment", "blank", "total"
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\appointee\view\appointee-view.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 697, 0, 0, 0, 41, 26, 764
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\attention\attention.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 120, 0, 0, 0, 11, 10, 141
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\data-update\data-update.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 72, 0, 0, 0, 7, 9, 88
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\data-upload\data-upload.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 73, 0, 0, 0, 6, 9, 88
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\home\home-view.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 212, 0, 0, 0, 212, 28, 452
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\home\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\home\widget\card-structure.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 121, 0, 0, 0, 16, 7, 144
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\home\widget\critical-recruits.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 111, 0, 0, 0, 10, 11, 132
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\home\widget\cumulative-status.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 82, 0, 0, 0, 5, 8, 95
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\home\widget\index.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\home\widget\lapsed.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 102, 0, 0, 0, 9, 7, 118
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\home\widget\link-not-sent.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 108, 0, 0, 0, 7, 6, 121
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\home\widget\no-response.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 103, 0, 0, 0, 9, 5, 117
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\home\widget\total-offer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 0, 6, 6, 35
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\home\widget\under-process.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 102, 0, 0, 0, 11, 8, 121
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\home\widget\upcoming-recruits.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 15, 100
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\home\widget\verified.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 102, 0, 0, 0, 7, 6, 115
